map_idx,method,step,coverage
2051,diffusion,7,0.7434064876311484
2051,diffusion,8,0.8617528154779093
2051,diffusion,9,0.9374338242371739
2051,diffusion,10,0.9990615073635576
2051,baseline,1,0.09606314370969295
2051,baseline,2,0.12400134757917028
2051,baseline,3,0.27324574068726537
2051,baseline,4,0.4138030609298296
2051,baseline,5,0.5142939647704302
2051,baseline,6,0.6168062373664452
2051,baseline,7,0.7833044566368275
2051,baseline,8,0.955770526518433
2553,diffusion,1,0.28385935591695055
2553,diffusion,2,0.3617985472777528
2553,diffusion,3,0.44578003471106253
2553,diffusion,4,0.5368644340168413
2553,diffusion,5,0.5829851513788006
2553,diffusion,6,0.6026547534871762
2553,diffusion,7,0.7022883589380986
2553,diffusion,8,0.7022883589380986
2553,diffusion,9,0.7022883589380986
2553,diffusion,10,0.7022883589380986
2553,diffusion,11,0.7022883589380986
2553,diffusion,12,0.7022883589380986
2553,diffusion,13,0.7022883589380986
2553,diffusion,14,0.7022883589380986
2553,diffusion,15,0.7022883589380986
2553,diffusion,16,0.7022883589380986
2553,diffusion,17,0.7022883589380986
2553,diffusion,18,0.7022883589380986
2553,diffusion,19,0.7022883589380986
2553,diffusion,20,0.7022883589380986
2553,baseline,1,0.28385935591695055
2553,baseline,2,0.35594909044160183
2553,baseline,3,0.3715369287137623
2553,baseline,4,0.5306292987079771
2553,baseline,5,0.5346467827987401
2553,baseline,6,0.5695185447065629
2553,baseline,7,0.6530179340489811
2553,baseline,8,0.714790769428553
2553,baseline,9,0.714790769428553
2553,baseline,10,0.7313106640097705
2553,baseline,11,0.7314070836279488
2553,baseline,12,0.7314070836279488
2553,baseline,13,0.7314070836279488
2553,baseline,14,0.7314070836279488
2553,baseline,15,0.7314070836279488
2553,baseline,16,0.7314070836279488
2553,baseline,17,0.7314070836279488
2553,baseline,18,0.7314070836279488
2553,baseline,19,0.7314070836279488
2553,baseline,20,0.7314070836279488
2628,diffusion,1,0.19003028445088532
2628,diffusion,2,0.33491258383962247
2628,diffusion,3,0.47801125912713893
2628,diffusion,4,0.6137524849971202
2628,diffusion,5,0.7409657581331401
2628,diffusion,6,0.830332757371384
2628,diffusion,7,0.8915519387622391
2628,diffusion,8,0.9351020939003771
2628,diffusion,9,0.9675974954944913
2628,baseline,1,0.19003028445088532
2628,baseline,2,0.33491258383962247
2628,baseline,3,0.47801125912713893
2628,baseline,4,0.6137524849971202
2628,baseline,5,0.7409657581331401
2628,baseline,6,0.830332757371384
2628,baseline,7,0.8908830797242815
2628,baseline,8,0.9344703936978616
2628,baseline,9,0.9696598108615276
2727,diffusion,1,0.2077596204533474
2727,diffusion,2,0.3719557195571956
2727,diffusion,3,0.5022245651027939
2727,diffusion,4,0.6343700579862942
2727,diffusion,5,0.733494992092778
2727,diffusion,6,0.8269478123352663
2727,diffusion,7,0.8468950975224038
2727,diffusion,8,0.8679810226673695
2727,diffusion,9,0.905239852398524
2727,diffusion,10,0.9479388508170796
2727,diffusion,11,0.9598523985239853
2727,baseline,1,0.2077596204533474
2727,baseline,2,0.34802319451765945
2727,baseline,3,0.49984185556141275
2727,baseline,4,0.6402952029520296
2727,baseline,5,0.6872113863995782
2727,baseline,6,0.7857670005271481
2727,baseline,7,0.8479493937796521
2727,baseline,8,0.8869372693726937
2727,baseline,9,0.8992514496573537
2727,baseline,10,0.9228676858197153
2727,baseline,11,0.9546230890880337
2778,diffusion,1,0.24022640978765294
2778,diffusion,2,0.43408100126564475
2778,diffusion,3,0.7227886373224581
2778,diffusion,4,0.7818872169877654
2778,diffusion,5,0.803262550977359
2778,diffusion,6,0.9402685979468429
2778,diffusion,7,0.9650541414709605
2778,baseline,1,0.24022640978765294
2778,baseline,2,0.43408100126564475
2778,baseline,3,0.6273730839544368
2778,baseline,4,0.6478343411615807
2778,baseline,5,0.8101181268457319
2778,baseline,6,0.9770074532414569
2811,diffusion,1,0.10676003734827265
2811,diffusion,2,0.26795518207282915
2811,diffusion,3,0.41514472455648926
2811,diffusion,4,0.5606162464985994
2811,diffusion,5,0.6710177404295051
2811,diffusion,6,0.7692997198879552
2811,diffusion,7,0.8385247432306255
2811,diffusion,8,0.9224276377217554
2811,diffusion,9,0.9560597572362278
2811,baseline,1,0.10676003734827265
2811,baseline,2,0.26795518207282915
2811,baseline,3,0.41337068160597573
2811,baseline,4,0.5604855275443511
2811,baseline,5,0.6960224089635855
2811,baseline,6,0.7848366013071896
2811,baseline,7,0.8951073762838468
2811,baseline,8,0.9612885154061624
2892,diffusion,1,0.358158619526727
2892,diffusion,2,0.5681524366252599
2892,diffusion,3,0.6938901691866675
2892,diffusion,4,0.811533921645776
2892,diffusion,5,0.9325501658141757
2892,diffusion,6,0.9326063740093306
2892,diffusion,7,0.9392951492327581
2892,diffusion,8,0.9395761902085324
2892,diffusion,9,0.9395761902085324
2892,diffusion,10,0.9395761902085324
2892,diffusion,11,0.9395761902085324
2892,diffusion,12,0.9395761902085324
2892,diffusion,13,0.9395761902085324
2892,diffusion,14,0.9980889213647349
2892,baseline,1,0.358158619526727
